starttime	seconds	ctime	dtime	ttime	wait
Wed Sep 08 17:37:49 2021	1631115469	0	415	415	404
Wed Sep 08 17:37:40 2021	1631115460	0	415	415	415
Wed Sep 08 17:37:38 2021	1631115458	5	411	416	381
Wed Sep 08 17:37:43 2021	1631115463	0	418	418	417
Wed Sep 08 17:37:43 2021	1631115463	0	421	421	419
Wed Sep 08 17:37:38 2021	1631115458	5	418	423	417
Wed Sep 08 17:37:49 2021	1631115469	0	423	423	423
Wed Sep 08 17:37:47 2021	1631115467	0	423	424	423
Wed Sep 08 17:37:48 2021	1631115468	0	424	424	423
Wed Sep 08 17:37:43 2021	1631115463	0	424	424	423
Wed Sep 08 17:37:53 2021	1631115473	0	425	425	425
Wed Sep 08 17:37:50 2021	1631115470	0	425	425	425
Wed Sep 08 17:37:38 2021	1631115458	5	423	428	422
Wed Sep 08 17:37:41 2021	1631115461	0	429	429	428
Wed Sep 08 17:37:41 2021	1631115461	0	429	429	429
Wed Sep 08 17:37:43 2021	1631115463	0	430	430	429
Wed Sep 08 17:37:54 2021	1631115474	0	431	431	430
Wed Sep 08 17:37:48 2021	1631115468	0	431	431	430
Wed Sep 08 17:37:43 2021	1631115463	0	433	433	432
Wed Sep 08 17:37:56 2021	1631115476	0	435	435	434
Wed Sep 08 17:37:52 2021	1631115472	0	435	435	435
Wed Sep 08 17:37:48 2021	1631115468	0	436	436	435
Wed Sep 08 17:37:46 2021	1631115466	1	436	437	435
Wed Sep 08 17:37:38 2021	1631115458	0	437	437	436
Wed Sep 08 17:37:53 2021	1631115473	0	437	437	436
Wed Sep 08 17:37:48 2021	1631115468	0	438	438	437
Wed Sep 08 17:37:50 2021	1631115470	0	438	438	437
Wed Sep 08 17:37:41 2021	1631115461	0	439	439	438
Wed Sep 08 17:37:48 2021	1631115468	0	439	439	438
Wed Sep 08 17:37:48 2021	1631115468	0	440	440	439
Wed Sep 08 17:37:43 2021	1631115463	0	440	440	439
Wed Sep 08 17:37:41 2021	1631115461	0	441	441	440
Wed Sep 08 17:37:54 2021	1631115474	0	441	441	440
Wed Sep 08 17:37:39 2021	1631115459	0	441	442	441
Wed Sep 08 17:37:55 2021	1631115475	0	442	442	441
Wed Sep 08 17:37:41 2021	1631115461	0	442	442	442
Wed Sep 08 17:37:49 2021	1631115469	0	444	444	443
Wed Sep 08 17:37:54 2021	1631115474	0	444	444	443
Wed Sep 08 17:37:50 2021	1631115470	0	444	444	444
Wed Sep 08 17:37:48 2021	1631115468	0	445	445	445
Wed Sep 08 17:37:54 2021	1631115474	0	445	445	445
Wed Sep 08 17:37:48 2021	1631115468	0	446	446	444
Wed Sep 08 17:37:39 2021	1631115459	0	446	446	445
Wed Sep 08 17:37:48 2021	1631115468	0	446	447	443
Wed Sep 08 17:37:54 2021	1631115474	0	447	447	446
Wed Sep 08 17:37:48 2021	1631115468	0	448	448	448
Wed Sep 08 17:37:39 2021	1631115459	0	448	448	446
Wed Sep 08 17:37:49 2021	1631115469	0	449	449	448
Wed Sep 08 17:37:54 2021	1631115474	0	451	451	450
Wed Sep 08 17:37:41 2021	1631115461	0	452	452	425
Wed Sep 08 17:37:53 2021	1631115473	0	452	452	451
Wed Sep 08 17:37:51 2021	1631115471	0	453	453	290
Wed Sep 08 17:37:41 2021	1631115461	0	454	454	453
Wed Sep 08 17:37:47 2021	1631115467	0	454	454	454
Wed Sep 08 17:37:54 2021	1631115474	0	454	454	453
Wed Sep 08 17:37:50 2021	1631115470	0	455	455	455
Wed Sep 08 17:37:54 2021	1631115474	0	456	456	455
Wed Sep 08 17:37:56 2021	1631115476	0	456	456	454
Wed Sep 08 17:37:48 2021	1631115468	0	458	458	457
Wed Sep 08 17:37:55 2021	1631115475	0	458	458	456
Wed Sep 08 17:37:53 2021	1631115473	0	458	458	455
Wed Sep 08 17:37:41 2021	1631115461	0	458	458	448
Wed Sep 08 17:37:49 2021	1631115469	0	458	458	458
Wed Sep 08 17:37:55 2021	1631115475	0	459	459	459
Wed Sep 08 17:37:53 2021	1631115473	0	460	460	459
Wed Sep 08 17:37:55 2021	1631115475	0	460	460	459
Wed Sep 08 17:37:41 2021	1631115461	0	460	460	460
Wed Sep 08 17:37:54 2021	1631115474	0	463	463	462
Wed Sep 08 17:37:43 2021	1631115463	0	463	463	462
Wed Sep 08 17:37:42 2021	1631115462	0	464	464	439
Wed Sep 08 17:37:54 2021	1631115474	0	465	465	464
Wed Sep 08 17:37:38 2021	1631115458	5	461	466	460
Wed Sep 08 17:37:43 2021	1631115463	0	466	466	466
Wed Sep 08 17:37:38 2021	1631115458	4	464	468	463
Wed Sep 08 17:37:54 2021	1631115474	0	468	468	468
Wed Sep 08 17:37:40 2021	1631115460	0	468	468	468
Wed Sep 08 17:37:55 2021	1631115475	0	468	468	468
Wed Sep 08 17:37:49 2021	1631115469	0	469	469	468
Wed Sep 08 17:37:38 2021	1631115458	0	470	470	287
Wed Sep 08 17:37:47 2021	1631115467	0	470	470	470
Wed Sep 08 17:37:38 2021	1631115458	4	468	471	467
Wed Sep 08 17:37:41 2021	1631115461	0	471	472	471
Wed Sep 08 17:37:39 2021	1631115459	0	472	472	472
Wed Sep 08 17:37:38 2021	1631115458	4	469	473	468
Wed Sep 08 17:37:41 2021	1631115461	0	474	474	474
Wed Sep 08 17:37:44 2021	1631115464	0	475	475	474
Wed Sep 08 17:37:39 2021	1631115459	0	475	475	474
Wed Sep 08 17:37:52 2021	1631115472	0	476	476	476
Wed Sep 08 17:37:52 2021	1631115472	0	476	476	475
Wed Sep 08 17:37:45 2021	1631115465	0	477	477	475
Wed Sep 08 17:37:48 2021	1631115468	0	478	478	477
Wed Sep 08 17:37:56 2021	1631115476	0	478	478	477
Wed Sep 08 17:37:39 2021	1631115459	0	478	478	415
Wed Sep 08 17:37:41 2021	1631115461	0	478	478	478
Wed Sep 08 17:37:54 2021	1631115474	0	478	479	478
Wed Sep 08 17:37:46 2021	1631115466	0	479	479	478
Wed Sep 08 17:37:50 2021	1631115470	0	479	479	478
Wed Sep 08 17:37:46 2021	1631115466	0	480	480	479
Wed Sep 08 17:37:54 2021	1631115474	0	480	480	479
Wed Sep 08 17:37:43 2021	1631115463	0	480	480	479
Wed Sep 08 17:37:38 2021	1631115458	5	477	481	476
Wed Sep 08 17:37:42 2021	1631115462	0	482	482	481
Wed Sep 08 17:37:55 2021	1631115475	0	482	482	481
Wed Sep 08 17:37:54 2021	1631115474	0	483	483	483
Wed Sep 08 17:37:54 2021	1631115474	0	484	484	483
Wed Sep 08 17:37:51 2021	1631115471	0	488	488	487
Wed Sep 08 17:37:55 2021	1631115475	0	488	488	487
Wed Sep 08 17:37:54 2021	1631115474	0	489	489	489
Wed Sep 08 17:37:46 2021	1631115466	0	492	492	491
Wed Sep 08 17:37:39 2021	1631115459	0	493	493	180
Wed Sep 08 17:37:42 2021	1631115462	0	493	494	493
Wed Sep 08 17:37:44 2021	1631115464	0	494	494	493
Wed Sep 08 17:37:52 2021	1631115472	0	494	494	464
Wed Sep 08 17:37:52 2021	1631115472	0	495	495	494
Wed Sep 08 17:37:55 2021	1631115475	0	496	496	495
Wed Sep 08 17:37:51 2021	1631115471	0	496	496	495
Wed Sep 08 17:37:52 2021	1631115472	0	496	496	496
Wed Sep 08 17:37:39 2021	1631115459	0	498	498	497
Wed Sep 08 17:37:54 2021	1631115474	0	502	502	501
Wed Sep 08 17:37:39 2021	1631115459	0	503	503	503
Wed Sep 08 17:37:48 2021	1631115468	0	503	503	503
Wed Sep 08 17:37:53 2021	1631115473	0	504	505	504
Wed Sep 08 17:37:41 2021	1631115461	0	505	505	504
Wed Sep 08 17:37:54 2021	1631115474	0	505	505	505
Wed Sep 08 17:37:51 2021	1631115471	0	508	508	508
Wed Sep 08 17:37:46 2021	1631115466	0	511	511	510
Wed Sep 08 17:37:56 2021	1631115476	0	515	515	514
Wed Sep 08 17:37:53 2021	1631115473	0	515	515	515
Wed Sep 08 17:37:52 2021	1631115472	0	517	517	516
Wed Sep 08 17:37:43 2021	1631115463	0	517	517	517
Wed Sep 08 17:37:53 2021	1631115473	0	519	519	518
Wed Sep 08 17:37:56 2021	1631115476	0	519	519	518
Wed Sep 08 17:37:53 2021	1631115473	0	520	520	520
Wed Sep 08 17:37:48 2021	1631115468	0	521	521	520
